vcn,byte,bit,set start,set end,clear start,clear end
251,31,3,11111000,00001111,00000111,11110000
252,31,4,11110000,00011111,00001111,11100000
253,31,5,11100000,00111111,00011111,11000000
254,31,6,11000000,01111111,00111111,10000000
255,31,7,10000000,11111111,011111111,00000000
256,32,0,11111111,00000001,00000000,11111110
257,32,1,11111110,00000011,00000001,11111100
258,32,2,11111100,00000111,00000011,11111000
259,32,3,11111000,00001111,00000111,11110000
260,32,4,11110000,00011111,00001111,11100000
261,32,5,11100000,00111111,00011111,11000000
262,32,6,11000000,01111111,00111111,10000000
263,32,7,10000000,11111111,011111111,00000000
264,33,0,11111111,00000001,00000000,11111110
265,33,1,11111110,00000011,00000001,11111100
266,33,2,11111100,00000111,00000011,11111000
267,33,3,11111000,00001111,00000111,11110000
268,33,4,11110000,00011111,00001111,11100000
269,33,5,11100000,00111111,00011111,11000000
270,33,6,11000000,01111111,00111111,10000000
271,33,7,10000000,11111111,011111111,00000000
272,34,0,11111111,00000001,00000000,11111110
273,34,1,11111110,00000011,00000001,11111100
274,34,2,11111100,00000111,00000011,11111000
275,34,3,11111000,00001111,00000111,11110000
276,34,4,11110000,00011111,00001111,11100000
277,34,5,11100000,00111111,00011111,11000000
278,34,6,11000000,01111111,00111111,10000000
279,34,7,10000000,11111111,011111111,00000000
280,35,0,11111111,00000001,00000000,11111110
281,35,1,11111110,00000011,00000001,11111100
282,35,2,11111100,00000111,00000011,11111000
283,35,3,11111000,00001111,00000111,11110000
284,35,4,11110000,00011111,00001111,11100000
285,35,5,11100000,00111111,00011111,11000000
286,35,6,11000000,01111111,00111111,10000000
287,35,7,10000000,11111111,011111111,00000000
288,36,0,11111111,00000001,00000000,11111110
289,36,1,11111110,00000011,00000001,11111100
290,36,2,11111100,00000111,00000011,11111000
291,36,3,11111000,00001111,00000111,11110000
292,36,4,11110000,00011111,00001111,11100000
293,36,5,11100000,00111111,00011111,11000000
294,36,6,11000000,01111111,00111111,10000000
295,36,7,10000000,11111111,011111111,00000000
296,37,0,11111111,00000001,00000000,11111110
297,37,1,11111110,00000011,00000001,11111100
298,37,2,11111100,00000111,00000011,11111000
299,37,3,11111000,00001111,00000111,11110000
300,37,4,11110000,00011111,00001111,11100000
301,37,5,11100000,00111111,00011111,11000000
302,37,6,11000000,01111111,00111111,10000000
303,37,7,10000000,11111111,011111111,00000000
304,38,0,11111111,00000001,00000000,11111110
305,38,1,11111110,00000011,00000001,11111100
306,38,2,11111100,00000111,00000011,11111000
307,38,3,11111000,00001111,00000111,11110000
308,38,4,11110000,00011111,00001111,11100000
309,38,5,11100000,00111111,00011111,11000000
310,38,6,11000000,01111111,00111111,10000000
311,38,7,10000000,11111111,011111111,00000000
312,39,0,11111111,00000001,00000000,11111110
313,39,1,11111110,00000011,00000001,11111100
314,39,2,11111100,00000111,00000011,11111000
315,39,3,11111000,00001111,00000111,11110000
316,39,4,11110000,00011111,00001111,11100000
317,39,5,11100000,00111111,00011111,11000000
318,39,6,11000000,01111111,00111111,10000000
319,39,7,10000000,11111111,011111111,00000000
320,40,0,11111111,00000001,00000000,11111110
321,40,1,11111110,00000011,00000001,11111100
322,40,2,11111100,00000111,00000011,11111000
323,40,3,11111000,00001111,00000111,11110000
324,40,4,11110000,00011111,00001111,11100000
325,40,5,11100000,00111111,00011111,11000000
326,40,6,11000000,01111111,00111111,10000000
327,40,7,10000000,11111111,011111111,00000000
328,41,0,11111111,00000001,00000000,11111110
329,41,1,11111110,00000011,00000001,11111100
330,41,2,11111100,00000111,00000011,11111000
331,41,3,11111000,00001111,00000111,11110000
332,41,4,11110000,00011111,00001111,11100000
333,41,5,11100000,00111111,00011111,11000000
334,41,6,11000000,01111111,00111111,10000000
335,41,7,10000000,11111111,011111111,00000000
336,42,0,11111111,00000001,00000000,11111110
337,42,1,11111110,00000011,00000001,11111100
338,42,2,11111100,00000111,00000011,11111000
339,42,3,11111000,00001111,00000111,11110000
340,42,4,11110000,00011111,00001111,11100000
341,42,5,11100000,00111111,00011111,11000000
342,42,6,11000000,01111111,00111111,10000000
343,42,7,10000000,11111111,011111111,00000000
344,43,0,11111111,00000001,00000000,11111110
345,43,1,11111110,00000011,00000001,11111100
346,43,2,11111100,00000111,00000011,11111000
